date,y2,y5,y10,y30,2s5s_spread,2s5s_z,5s10s_spread,5s10s_z,10s30s_spread,10s30s_z
1979-07-17,11.658228,11.878405,12.045069,,22.017675,-0.468730,16.666456,-1.323852,,
1979-07-18,11.545795,11.756076,11.904276,,21.028070,-0.529445,14.820042,-1.411583,,
1979-07-19,11.807514,11.892742,11.940364,,8.522787,-1.503841,4.762213,-2.056041,,
1979-07-20,11.840429,11.862949,11.852046,,2.251992,-1.937827,-1.090286,-2.366843,,
1979-07-23,11.695641,11.783543,11.812993,,8.790209,-1.349109,2.944978,-1.966270,,
1979-07-24,11.622837,11.674063,11.712121,,5.122612,-1.578156,3.805831,-1.821272,,
1979-07-25,11.733142,11.756731,11.847021,,2.358831,-1.719549,9.029065,-1.415890,,
1979-07-26,11.901306,11.863041,11.942515,,-3.826550,-2.116798,7.947392,-1.461392,,
1979-07-27,11.917135,11.882881,12.021163,,-3.425338,-1.976105,13.828221,-1.036784,,
1979-07-30,11.985714,11.949758,12.128598,,-3.595553,-1.891291,17.883994,-0.734961,,
1979-07-31,12.062636,11.994225,12.176729,,-6.841112,-2.021927,18.250363,-0.685643,,
1979-08-01,11.979711,11.902313,12.038937,,-7.739771,-1.990539,13.662357,-0.988956,,
1979-08-02,11.841024,11.880835,12.066599,,3.981069,-1.173808,18.576446,-0.602506,,
1979-08-03,11.744268,11.809428,12.037961,,6.516045,-1.002617,22.853271,-0.255111,,
1979-08-06,11.765371,11.824694,12.057334,,5.932335,-1.038945,23.263961,-0.202011,,
1979-08-07,11.649082,11.738064,11.997115,,8.898195,-0.843464,25.905103,0.024676,,
1979-08-08,11.704706,11.623579,11.856862,,-8.112724,-1.894715,23.328349,-0.154072,,
1979-08-09,11.513372,11.473397,11.819554,,-3.997520,-1.570923,34.615787,0.760417,,
1979-08-10,11.527736,11.497044,11.864459,,-3.069178,-1.472303,36.741467,0.920482,,
1979-08-13,11.613567,11.569808,11.933594,,-4.375978,-1.517105,36.378626,0.876681,,
1979-08-14,11.536443,11.477631,11.853805,,-5.881151,-1.567876,37.617409,0.948594,,
1979-08-15,11.362959,11.335671,11.799886,,-2.728825,-1.342001,46.421442,1.606261,,
1979-08-16,11.501346,11.380367,11.773687,,-12.097962,-1.831813,39.332002,1.007354,,
1979-08-17,11.652145,11.546205,11.806971,,-10.593934,-1.675387,26.076545,-0.021927,,
1979-08-20,11.702335,11.584484,11.791384,,-11.785164,-1.679415,20.690003,-0.434420,,
1979-08-21,11.545663,11.488308,11.779369,,-5.735561,-1.303243,29.106145,0.206521,,
1979-08-22,11.583253,11.528809,11.790674,,-5.444409,-1.246152,26.186564,-0.013426,,
1979-08-23,11.622339,11.527361,11.755890,,-9.497833,-1.411577,22.852907,-0.256242,,
1979-08-24,11.665047,11.607974,11.812722,,-5.707315,-1.171812,20.474747,-0.421829,,
1979-08-28,11.652949,11.560176,11.771447,,-9.277343,-1.311024,21.127108,-0.348558,,
1979-08-29,11.643815,11.559981,11.779087,,-8.383338,-1.221368,21.910622,-0.270636,,
1979-08-30,11.782609,11.639120,11.798505,,-14.348889,-1.472615,15.938571,-0.718769,,
1979-08-31,11.829230,11.659838,11.806734,,-16.939215,-1.542588,14.689569,-0.790363,,
1979-09-03,11.836196,11.693768,11.866089,,-14.242845,-1.358658,17.232131,-0.563444,,
1979-09-04,11.675007,11.610970,11.865392,,-6.403712,-0.940373,25.442270,0.142643,,
1979-09-05,11.599945,11.531267,11.828454,,-6.867817,-0.931472,29.718725,0.530180,,
